자치구,택시운송업,한식 일반 음식점업,용달 화물자동차 운송업,부동산 중개 및 대리업,두발미용업,커피전문점,남녀용 겉옷 및 셔츠 도매업,기타주점업,일반 교과 학원,한식 육류요리 전문점,업종합계
종로구,215,5912,646,889,480,3613,962,1413,382,1982,16494
중구,235,6414,333,1152,816,3542,24248,982,175,2121,40018
용산구,523,2987,466,1214,777,2076,317,1332,573,1184,11449
성동구,2527,2785,1161,1453,851,1859,1572,621,1494,1545,15868
광진구,1744,2861,985,1313,1337,1887,687,1577,1646,1678,15715
동대문구,2093,3566,1456,1208,891,1472,976,1082,984,1509,15237
중랑구,6262,2479,1877,1104,1108,1037,284,1000,1045,1504,17700
성북구,2643,2822,1335,1175,1245,1384,454,1030,1755,1334,15177
강북구,2589,2663,1030,867,997,1095,94,1275,740,1176,12526
도봉구,5783,2009,1574,794,847,837,43,477,1162,943,14469
노원구,6074,2650,1736,1053,1353,1748,123,844,3281,1557,20419
은평구,4430,2585,1349,1614,1443,1296,74,925,1793,1639,17148
서대문구,2677,2694,808,956,1185,1323,68,1127,1268,1088,13194
마포구,1838,4705,829,1903,2042,4475,1209,2559,1855,2928,24343
양천구,4942,2800,1293,1364,1428,1375,52,851,5804,1111,21020
강서구,6922,4584,1862,2352,1751,2530,700,1709,2347,2274,27031
구로구,3817,3215,1351,1213,1134,1384,923,1165,1111,1496,16809
금천구,2598,2619,997,1381,715,1215,2575,685,487,1042,14314
영등포구,2397,6476,1429,1566,1261,3295,1220,1489,1082,2151,22366
동작구,1115,2322,844,1483,1105,1628,199,955,1463,1177,12291
관악구,2027,3689,1600,2136,1604,2049,190,1672,1230,1628,17825
서초구,903,6712,411,2758,1832,3897,1563,1255,3812,2338,25481
강남구,2517,11486,487,6508,6255,7273,8320,2528,9020,5008,59402
송파구,4850,5760,1931,3190,2328,3372,2830,1469,4160,2781,32671
강동구,4980,3388,1566,1990,1429,1660,1433,1349,2104,1459,21358
